ArtistKey,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,mode,count
4734,Coco Owino,0.217,0.721,180213,0.539,0.00257,0.419,-8.726,0.362,81.971,0.377,52,1,1
4735,CocoRosie,0.313,0.513,290187,0.498,4.06E-06,0.444,-7.929,0.0531,67.469,0.0787,44,0,2
4736,Cocoa Tea,0.020212,0.7742,238691.2,0.4128,0,0.10932,-9.9968,0.07628,99.6452,0.7232,41.6,1,5
4737,Coconut Records,0.23775,0.6105,189299.5,0.752,6.20E-05,0.0813,-6.3415,0.0428,100.0235,0.621,52,1,4
4738,Cocteau Twins,0.214943215,0.387452703,233628.223,0.625133108,0.333582236,0.186608784,-10.0947973,0.043183108,126.6065473,0.356321622,36,1,148
4739,Coda,0.0938,0.363,278126.5,0.6965,0,0.19975,-6.6085,0.0484,135.2005,0.4115,65,1,4
4740,Codallo's Top Hatters Orchestra,0.994,0.417,184640,0.275,0.926,0.0743,-13.541,0.0459,84.829,0.395,0,1,2
4741,Codes In The Clouds,0.00468,0.462,112720,0.249,0.896,0.108,-14.157,0.0315,106.039,0.0481,49,1,2
4742,Cody Carnes,0.36462,0.431,383407.8,0.3432,0,0.13948,-9.5168,0.03356,137.1054,0.22088,63.4,1,5
4743,Cody Chesnutt,0.3605,0.7485,204573,0.755,4.15E-06,0.0948,-4.619,0.19335,156.876,0.9655,50.5,1,4
4744,Cody Jinks,0.1186271,0.57565,241238.9,0.59815,0.013690171,0.141415,-6.5017,0.037445,115.68875,0.45125,54.7,1,40
4745,Cody Johnson,0.276085152,0.539727273,220732.4848,0.613939394,6.61E-05,0.156581818,-6.796121212,0.032984848,127.9383333,0.509606061,52.54545455,1,66
4746,Cody Simpson,0.370088,0.5386,213594.8,0.5882,0.000672,0.23828,-7.7818,0.05122,109.4342,0.5018,65.6,1,5
4747,Coheed and Cambria,0.038913357,0.428714286,317816.6786,0.882321429,0.000275494,0.203892857,-5.365142857,0.126003571,139.0252857,0.484357143,44.28571429,1,56
4748,Coi Leray,0.193,0.714,205701,0.535,0,0.184,-7.896,0.0542,139.944,0.0974,63,1,2
4749,Coko,0.133566667,0.640666667,262391,0.683333333,6.68E-05,0.322333333,-4.978333333,0.040933333,109.0866667,0.449,41,1,3
4750,Col. Bruce Hampton & The Aquarium Rescue Unit,0.022,0.555,285573,0.809,0.219,0.977,-13.029,0.0374,108.347,0.651,31,1,2
4751,Colacho Mendoza,0.601,0.676,304067,0.548,0,0.0923,-9.389,0.306,152.575,0.973,29,1,2
4752,Colbie Caillat,0.32843,0.612785714,225120,0.565392857,8.21E-08,0.152028571,-7.065642857,0.033342857,123.0597857,0.457428571,58.28571429,1,28
4753,Colby O'Donis,0.03791,0.7996,249407.8,0.7297,2.54E-05,0.1708,-5.1887,0.03905,120.3894,0.6025,55,0,10
4754,Cold,0.09177009,0.4329,223132,0.783,6.07E-05,0.14815,-5.679,0.05753,137.2435,0.2658,43.1,1,20
4755,Cold Chisel,0.134628571,0.553142857,241650.7143,0.843,1.06E-06,0.196728571,-3.086,0.066728571,130.0975714,0.678,56,1,14
4756,Cold Hart,0.0545,0.589,155573,0.665,0,0.221,-7.105,0.044,74.978,0.298,66,1,2
