genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
432hz,0.49478,0.299333333,1048887.333,0.450678333,0.477761667,0.131,-16.854,0.076816667,120.2856667,0.22175,52.16666667,5,1
[],0.679244745,0.521473305,229852.6102,0.401522143,0.196737314,0.221586215,-12.67907565,0.112267076,112.0251678,0.515920046,21.6820047,7,1
a cappella,0.621531719,0.577016906,193652.2047,0.345694086,0.003798922,0.127086818,-12.77021103,0.095324274,111.8132302,0.453185635,43.35181881,11,1
abstract,0.359395,0.4595,343018.5,0.487,0.7914,0.11948,-14.092,0.04342,124.7432,0.30499,41.5,1,1
abstract beats,0.353346667,0.6944,233824.4,0.6134,0.349402612,0.102453333,-6.6998,0.143453333,119.3984,0.634186667,58.6,10,0
abstract hip hop,0.205871988,0.723131579,249095.1032,0.645460819,0.002852672,0.168031754,-7.216007018,0.250104386,112.1602865,0.584391813,43.80497076,11,1
accordeon,0.801333333,0.626333333,162613.3333,0.309,0.616,0.252666667,-10.73666667,0.035733333,114.522,0.543666667,28.66666667,2,1
accordion,0.486208333,0.640833333,166508.2083,0.364,0.111317263,0.186975,-14.43654167,0.082775,112.7221667,0.643916667,15.20833333,2,1
acid house,0.057002333,0.684227778,293609.3111,0.721418889,0.320219356,0.232381111,-10.37831111,0.058509444,123.1759333,0.622205556,44.56666667,11,1
acid jazz,0.155414,0.7142,284362.3667,0.694666667,0.190613133,0.1068,-10.23466667,0.05202,112.2434,0.789366667,44.03333333,6,1
acid rock,0.258026865,0.453541141,252930.7174,0.592055437,0.159559889,0.235853765,-11.12468442,0.072292353,125.4659373,0.535974532,34.50001162,9,1
acid trance,0.0035355,0.557,216060,0.925,0.7765,0.152,-7.128,0.04235,134.8435,0.6395,56.5,2,1
acousmatic,0.91579375,0.414258917,180883.1915,0.250570367,0.59703367,0.256992042,-21.01550979,0.084794146,105.5481344,0.309735208,8.081875,0,1
acoustic blues,0.756161067,0.600931694,204589.7753,0.358590687,0.092911532,0.186153006,-12.65395361,0.066539553,114.1003973,0.630017669,23.76447984,7,1
acoustic pop,0.485249726,0.52782081,234521.8894,0.482990348,0.047113693,0.153360585,-9.214582532,0.04012191,117.5559651,0.38460085,52.86698246,11,1
acoustic punk,0.374439029,0.527967143,192338.4243,0.614435714,0.068066512,0.180224429,-8.175711429,0.067979429,120.9605543,0.740857143,38.99857143,9,1
adoracion,0.389666667,0.496944444,296901.0833,0.519083333,0,0.31025,-7.925083333,0.037402778,132.7866111,0.309694444,46.63888889,7,1
adult standards,0.652903845,0.498711382,195660.1855,0.385813873,0.122368218,0.194290601,-12.21088215,0.054211931,113.5874711,0.504975587,30.30883742,0,1
adventista,0.777697101,0.532014493,200485.4203,0.325202899,7.44E-06,0.13955942,-9.220130435,0.028902899,113.7904638,0.519594203,25.69565217,6,1
afghan pop,0.4504,0.696833333,301078.0833,0.672166667,0.00147285,0.098670833,-7.560708333,0.0802,113.1881667,0.808291667,38.58333333,7,1
african gospel,0.77,0.605,534036,0.602,0.000761,0.083,-6.726,0.0413,129.305,0.903,32,4,1
african percussion,0.3492,0.593866667,284304.5333,0.7624,0.255481912,0.12804,-8.04,0.08654,132.613,0.4638,12.73333333,0,0
african reggae,0.250397222,0.751194444,267519.6667,0.663166667,0.003530777,0.107577778,-7.365055556,0.057638889,118.4155833,0.770138889,44.41666667,7,1
african rock,0.097749838,0.672716667,231344.8083,0.574125,0.093797965,0.148595833,-8.675066667,0.07028,119.2233833,0.525283333,42.025,8,1
afro dancehall,0.066539235,0.608733333,206349.3167,0.760016667,0.009239641,0.21595,-5.9619,0.169973333,134.1463667,0.585633333,53.03333333,11,1
afro house,0.19975,0.6675,235788.5,0.5965,0.195746,0.1115,-8.674,0.1682,132.147,0.673,54,5,1
afro psych,0.2443,0.438,318605.5,0.75975,0.399225,0.151,-11.1595,0.053425,137.68125,0.80475,27.75,1,1
afro-cuban traditional,0.152,0.662,374813,0.764,0.0103,0.0803,-7.994,0.0819,135.902,0.769,29,7,1
afro-funk,0.150916667,0.805866667,288830.9333,0.727166667,0.082383047,0.09704,-8.89615,0.095705,114.9898333,0.875,29.08333333,0,1
afrobeat,0.339298984,0.62555807,320634.8909,0.619281106,0.307991144,0.165400703,-9.898266175,0.060932544,118.6762129,0.707645701,38.23552899,0,1
afrobeat brasileiro,0.9,0.621,161373,0.758,0.00216,0.121,-9.981,0.106,87.435,0.695,14,6,0
afrofuturism,0.249912225,0.63195436,298945.7078,0.588032578,0.116263299,0.190077832,-9.499777477,0.141712403,113.3228811,0.470677049,45.91769865,9,1
afrofuturismo brasileiro,0.626,0.484,247120,0.81,0.000283,0.11,-4.579,0.0377,144.454,0.422,36,7,0
afropop,0.441544936,0.608402475,323634.706,0.525343756,0.131703762,0.157685624,-11.34090343,0.076558663,115.0785134,0.630019936,43.58373849,7,1
afroswing,0.367658333,0.697291667,186504.9583,0.564666667,0.000179991,0.210795833,-7.4395,0.180470833,79.75991667,0.701125,77.625,11,0
aggrotech,3.28E-06,0.492,285667,0.947,0.756,0.319,-5.97,0.0433,120.036,0.212,45,1,1
alabama indie,0.217224449,0.522512821,237709.4103,0.6695,0.074563274,0.127653846,-8.478858974,0.043682051,113.6219615,0.532384615,43.5,7,1
alabama metal,0.002136,0.435,190191,0.88,7.37E-07,0.154066667,-3.451,0.060966667,110.2596667,0.465333333,46,6,1
alabama rap,0.13590689,0.700988778,214143.7843,0.604969913,0.000394078,0.166815466,-6.691861489,0.216182045,115.6796134,0.422011255,51.08852814,2,1
albanian pop,0.095935,0.6935,167717.5,0.782,1.22E-05,0.15595,-7.0075,0.11395,125.498,0.6215,56.5,6,0
alberta country,0.184074185,0.595093519,200241.4981,0.748716667,2.86E-05,0.222492222,-6.196218519,0.048717778,110.2465981,0.611644444,54.55648148,11,1
alberta hip hop,0.329,0.906,144013,0.604,0,0.255,-8.332,0.0746,99.996,0.899,75,11,0
album rock,0.192348081,0.514067099,266273.5188,0.658159415,0.074474181,0.216539967,-9.910221946,0.056714568,123.704501,0.548246216,37.89022217,9,1
albuquerque indie,0.398104038,0.585134615,218208.4487,0.586814103,0.024485533,0.207607051,-8.634647436,0.034197436,127.2804423,0.620089744,53.67948718,2,1
alt-idol,0.000273,0.616,230613,0.985,0.000145,0.111,-1.598,0.0832,109.979,0.487,53,11,1
alternative americana,0.318674048,0.502196712,232470.9167,0.530426871,0.27243811,0.187467687,-9.399354875,0.046476701,123.4972954,0.442400227,48.26643991,11,1
alternative country,0.408534484,0.534290505,248417.5131,0.531198041,0.056544361,0.17365837,-10.1340855,0.043791587,119.080797,0.509388847,42.50891211,9,1
alternative dance,0.141753451,0.612578453,264767.6658,0.732270901,0.208215403,0.192280311,-6.700668777,0.059934404,125.4348349,0.529495878,50.83318978,2,1
alternative emo,0.095820934,0.471556401,216976.0431,0.754566787,0.029634388,0.191831643,-6.750935024,0.070650737,130.8460605,0.451293961,47.86062802,4,1
alternative hip hop,0.204298481,0.69717548,246993.3768,0.684363013,0.038674408,0.231130698,-7.523439848,0.253788451,106.8488285,0.601524544,47.52048645,1,1
alternative metal,0.059087884,0.4639657,245505.9066,0.832552701,0.106165232,0.212427627,-5.834477853,0.08193833,126.1505229,0.413710455,46.85818154,2,1
alternative pop,0.102378116,0.477227255,217119.0055,0.743666975,0.154376341,0.175972022,-8.964834707,0.048992544,128.1240144,0.572063809,37.85601749,11,1
alternative pop rock,0.183069583,0.596151042,208448.0712,0.714862153,1.14E-05,0.193445382,-4.828894792,0.065174653,119.6851767,0.610433333,53.5,10,1
alternative r&b,0.322598521,0.655571101,233620.272,0.539086107,0.027775859,0.171026056,-8.316013055,0.141028574,114.3144185,0.439659071,58.01786128,1,1
alternative rock,0.156922597,0.480641507,241602.7498,0.707042292,0.165532937,0.194688388,-8.351835487,0.063215742,125.3036258,0.501319107,42.27054291,7,1
alternative roots rock,0.315197294,0.505258824,246973.5118,0.575958824,0.119855604,0.151374706,-8.078405882,0.055195294,116.9728,0.405158824,45.96470588,9,1
ambeat,0.51504819,0.717359524,250642.6429,0.637895238,0.302060524,0.142619286,-7.613142857,0.103259524,98.33154762,0.690388095,49.67142857,10,0
ambient,0.680011123,0.341910496,362510.4834,0.292836951,0.779746513,0.128762304,-18.92471009,0.042226357,107.3059446,0.189638797,42.68858556,2,1
ambient black metal,0.001325495,0.263833333,356480,0.768166667,0.768183333,0.326033333,-9.345,0.057366667,111.0275,0.241016667,42.83333333,4,1
ambient folk,0.639735522,0.528149771,231744.4122,0.3771439,0.141382425,0.166090181,-12.24876101,0.062826356,116.6522984,0.324724282,42.21999601,7,1
ambient house,0.040625,0.6265,255585.5,0.842125,0.1383,0.349,-12.244375,0.0468625,113.2315,0.46875,38.625,8,1
ambient idm,0.4775,0.3505,364264,0.5795,0.46250715,0.1205,-10.51,0.0575,150.4915,0.2385,55,8,1
ambient pop,0.740125333,0.32154,228714.0267,0.25362,0.7206852,0.109366667,-16.70594667,0.035710667,95.59444667,0.181174,42.56,7,1
ambient techno,0.09042825,0.7055,349358.5,0.549875,0.475425,0.08455,-13.98925,0.0329,125.71425,0.8410625,35.25,1,0
ambient worship,0.673501195,0.299743586,264410.9915,0.299544616,0.455696831,0.130743366,-15.14877248,0.036316776,101.7034559,0.155298794,58.10745614,3,1
american choir,0.862211485,0.287590616,334064.902,0.271393978,0.258958537,0.168232913,-17.48379692,0.113768908,112.4483347,0.200544958,26.62605042,7,1
american contemporary classical,0.945613128,0.352911852,387152.584,0.131887403,0.484147152,0.145234388,-24.17150661,0.0521854,95.78631603,0.284148797,25.99073769,9,1
american folk revival,0.82000077,0.550777876,174700.8809,0.258479114,0.027979392,0.157239204,-15.29683325,0.0780358,113.7927159,0.555929211,18.7587661,9,1
american metalcore,0.003246733,0.389,238115.6667,0.971,0.000346333,0.2109,-4.268,0.254333333,159.296,0.251333333,42.66666667,9,0
american modern classical,0.899242026,0.387777662,279470.459,0.254360876,0.475213629,0.219343705,-17.78838592,0.128276694,118.9964359,0.377052696,7.265186202,5,1
american post-rock,0.307838503,0.457876603,303835.3253,0.469561859,0.675982673,0.154334135,-12.83942949,0.043364744,112.1308926,0.233709455,47.58333333,1,1
american primitive,0.511042333,0.384566667,191793.6167,0.426283333,0.822416667,0.135971667,-13.8341,0.0404,111.0266833,0.492698333,23.7,11,1
american romanticism,0.947529321,0.31233858,227850.5093,0.174075154,0.402565472,0.147290741,-19.99763272,0.042085031,108.0220725,0.275941049,10.41975309,11,1
american shoegaze,0.193879413,0.329866667,324887.6,0.730866667,0.565333333,0.1876,-9.429466667,0.042946667,113.6809333,0.354866667,41.8,6,1
anadolu rock,0.5618,0.4748,266333.8,0.445,0.204252,0.16428,-14.736,0.03542,97.914,0.613,44.8,7,0
anarcho-punk,0.053054176,0.31594888,197361.25,0.874785014,0.009299373,0.265317927,-8.071685574,0.125123039,163.6538606,0.500540616,39.41106443,2,1
andean,0.588895396,0.603333333,286867.6463,0.461387755,0.27619799,0.132411565,-11.8837415,0.058034694,122.0936599,0.464986395,32.7755102,4,1
anglican liturgy,0.921016667,0.234556667,209452.85,0.175126667,0.264563667,0.205686667,-16.99511667,0.058683333,87.85156667,0.265455,10.28333333,0,1
animal singing,0.806,0.799,126286.5,0.6395,0,0.1935,-5.9875,0.04235,114.6885,0.9025,4.5,3,1
anime,0.155647281,0.503119587,241442.8109,0.793880743,0.125889956,0.173699527,-5.562658784,0.066968478,137.2889699,0.469465732,51.93203293,1,1
